PLAYER,PTS,2 PTM,2 PTT,2 PT%,3 PTM,3 PTT,3 PT%,FGM,FGT,FG %,FTM,FTT,FT %,OR,DR,STEALS,ASSISTS,BLOCKS,TO,+/-
#1 Kate J.,13,4,12,33.33%,0,2,0.00%,4,14,28.57%,4,5,80.00%,1,4,3,4,0,4,-2.5
#2 Azalya F.,8,3,8,37.50%,0,0,0.00%,3,8,37.50%,2,3,66.67%,3,2,2,1,0,2,-2.5
#3 Sofia B.,1,0,1,0.00%,0,0,0.00%,0,1,0.00%,1,2,50.00%,0,0,0,0,0,0,0
#4 Katrina F.,1,1,1,100.00%,0,2,0.00%,1,3,33.33%,0,1,0.00%,0,1,0,0,0,1,1.5
#5 Hailey C.,15,4,8,50.00%,1,7,14.29%,5,15,33.33%,3,5,60.00%,1,2,1,0,0,3,-1.4
#6 Katie H.,5,1,4,25.00%,0,2,0.00%,1,6,16.67%,1,1,100.00%,1,2,1,1,0,1,-3.9
#7 Kiara K.,2,1,2,50.00%,0,0,0.00%,1,2,50.00%,0,1,0.00%,1,3,0,0,0,1,0
#8 Sara T.,0,0,1,0.00%,0,1,0.00%,0,2,0.00%,0,0,0.00%,0,1,1,1,0,1,2.3
#9 Olivia W.,4,1,3,33.33%,0,0,0.00%,1,3,33.33%,1,1,100.00%,2,4,1,1,0,2,2
#10 Ryann K.,2,0,1,0.00%,0,1,0.00%,0,2,0.00%,1,1,100.00%,0,1,0,0,0,2,-4.6
#11 Sophia K.,0,0,1,0.00%,0,0,0.00%,0,1,0.00%,0,0,0.00%,0,0,0,0,0,2,-8
#12 Dina S.,5,1,4,25.00%,0,1,0.00%,1,5,20.00%,2,2,100.00%,3,5,1,1,1,2,-1.6
#13 Olivia M.,3,1,3,33.33%,0,0,0.00%,1,3,33.33%,1,1,100.00%,2,2,0,0,1,1,-0.8
#14 Madison L.,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0
#15 Emily M.,10,3,7,42.86%,1,3,33.33%,4,10,40.00%,3,4,75.00%,1,3,1,1,0,3,-6.3
#21 Teigan M.,5,0,1,0.00%,1,3,33.33%,1,4,25.00%,0,0,0.00%,0,0,0,0,0,1,-2.1