PLAYER	PTS	2 PTM	2 PTT	2 PT%	3 PTM	3 PTT	3 PT%	FGM	FGT	FG %	FTM	FTT	FT %	OR	DR	STEALS	ASSISTS	BLOCKS	TO	+/-	Played
#1 Kate J.	130	41	123	33.33%	4	18	22.22%	45	141	31.91%	36	49	73.47%	10	43	30	36	0	39	-20	10
#2 Azalya F.	75	29	79	36.71%	0	0	-	29	79	36.71%	17	25	68.00%	25	23	15	9	4	16	-20	10
#3 Sofia B.	1	0	1	0.00%	0	0	-	0	1	0.00%	1	2	50.00%	0	0	0	0	0	0	0	1
#4 Katrina F.	7	3	6	50.00%	0	10	0.00%	3	16	18.75%	1	4	25.00%	1	3	0	0	0	5	9	6
#5 Hailey C.	120	30	66	45.45%	11	56	19.64%	41	122	33.61%	27	37	72.97%	9	19	7	3	0	20	-11	8
#6 Katie H.	47	13	37	35.14%	4	16	25.00%	17	53	32.08%	9	12	75.00%	12	24	12	12	4	12	-31	10
#7 Kiara K.	5	2	7	28.57%	0	0	-	2	7	28.57%	1	2	50.00%	2	9	1	0	0	2	0	3
#8 Sara T.	2	0	9	0.00%	0	10	0.00%	0	19	0.00%	2	2	100.00%	2	8	10	7	0	5	16	9
#9 Olivia W.	38	14	33	42.42%	1	3	33.33%	15	36	41.67%	7	12	58.33%	16	41	9	7	2	15	16	10
#10 Ryann K.	17	2	9	22.22%	3	8	37.50%	5	17	29.41%	4	5	80.00%	3	5	3	1	1	11	-23	7
#11 Sophia K.	0	0	1	0.00%	0	0	-	0	1	0.00%	0	0	-	0	0	0	0	0	2	-8	1
#12 Dina S.	36	9	29	31.03%	2	7	28.57%	11	36	30.56%	12	18	66.67%	20	36	4	7	4	12	-13	8
#13 Olivia M.	16	5	16	31.25%	0	0	-	5	16	31.25%	6	6	100.00%	9	9	2	1	4	3	-3	6
#14 Madison L.	0	0	0	-	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0
#15 Emily M.	98	27	70	38.57%	6	27	22.22%	33	97	34.02%	26	36	72.22%	11	26	6	10	0	27	-50	10
#21 Teigan M.	46	4	9	44.44%	12	29	41.38%	16	38	42.11%	2	2	100.00%	1	4	0	1	1	5	-17	10